State Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver License Status,Alcohol Involvement,Accident Location Details
Jammu and Kashmir,2021,May,Monday,01:46,Serious,5,Cycle,11,4,Clear,National Highway,Wet,Dark,Signs,61,51,None,Yes,Curve
Uttar Pradesh,2018,January,Wednesday,21:30,Serious,5,Truck,12,4,Clear,Urban Road,Dry,Dusk,Signs,92,46,None,Yes,Straight Road
Chhattisgarh,2023,May,Wednesday,05:37,Serious,5,Pedestrian,16,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,43,None,No,Bridge
Uttar Pradesh,2020,June,Saturday,00:31,Serious,3,Bus,40,5,Rainy,State Highway,Dry,Dark,Signals,76,42,Valid,Yes,Straight Road
Sikkim,2021,August,Thursday,11:21,Minor,5,Cycle,16,1,Clear,Urban Road,Wet,Dusk,Signs,115,34,None,No,Intersection
Meghalaya,2020,November,Tuesday,08:04,Serious,1,Truck,5,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,28,Expired,Yes,Bridge
Sikkim,2021,October,Monday,18:55,Minor,2,Two-Wheeler,12,5,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,111,37,None,No,Straight Road
Himachal Pradesh,2022,December,Wednesday,11:40,Minor,3,Truck,10,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,34,Valid,No,Curve
Rajasthan,2021,July,Saturday,08:26,Minor,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,34,Valid,No,Straight Road
Rajasthan,2018,August,Saturday,02:01,Fatal,2,Car,10,2,Clear,State Highway,Under Construction,Dark,Signs,110,44,None,Yes,Straight Road
Himachal Pradesh,2020,April,Thursday,22:25,Minor,5,Pedestrian,10,3,Foggy,National Highway,Dry,Dusk,Signals,35,32,None,No,Straight Road
Uttar Pradesh,2018,August,Tuesday,16:49,Serious,3,Bus,47,4,Clear,National Highway,Wet,Dusk,None,46,43,Valid,No,Curve
Assam,2021,September,Saturday,23:22,Minor,1,Cycle,3,3,Clear,Village Road,Under Construction,Daylight,Signs,46,53,None,No,Straight Road
Bihar,2020,June,Wednesday,06:47,Minor,5,Car,13,0,Clear,State Highway,Wet,Dusk,Signals,98,39,Valid,No,Bridge
